fileIdentifier,language,character set,Hierarchy Level,Hierarchy Level Name,Metadata Point of Contact,Dataset URI,entryDate,title,alternateTitle,releaseDate,date type,citedResponsibleParty,abstract,Language,Character Set,Topic Category,surveyType,dataType,organisation name,party role,organisation name,party role,organisation name,party role,organisation name,party role,organisation name,party role,legislation,country,state,northBoundLatitude,southBoundLatitude,eastBoundLongitude,westBoundLongitude,Beginning Time,Ending Time,keyword,keyword,keyword,code,Access Constraints,Use Constraints,Security Constraints,supplementalInformation,userNote,surveyId
32369,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Traverses across Warriedar Belt, Grav",G0198159,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Geological Survey of WA,principalInvestigator,,,Geological Survey of WA,processor,,,,,,AUS,WA,-28.749,-28.92,117.232,116.719,,,On,,,EPSG:4202,license,license,unclassified,,,198159
32370,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Bowmans Detailed Grav,G0198162,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept Mines SA,principalInvestigator,ETSA,resourceProvider,,,,,,,,AUS,SA,-33.5842,-34.4188,138.5109,138.1288,,,On,,,EPSG:4202,license,license,unclassified,,,198162
32372,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Meelera Rockhole B Grav,G0198184,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Afmeco,principalInvestigator,Solo Geophysics,resourceProvider,,,,,,,,AUS,SA,-31.0009,-31.2817,134.6824,134.6226,,,On,,,EPSG:4202,license,license,unclassified,,,198184
32373,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Little Mount Finke A Grav,G0198185,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Afmeco,principalInvestigator,Solo Geophysics,resourceProvider,,,,,,,,AUS,SA,-30.95702,-31.2913,134.07152,133.9636,,,On,,,EPSG:4202,license,license,unclassified,,,198185
32374,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Clermont Pacific Coal Grav,G0198199,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,White Industries Pty Ltd,principalInvestigator,Pacific Coal Pty Ltd,resourceProvider,Leaman Geophysics,processor,,,,,,AUS,QLD,-22.57537,-23.03002,147.82142,147.51993,,,On,,,EPSG:4202,license,license,unclassified,,,198199
32375,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Seismic Grav Trav Central Eromanga Basin Trav6-2,G0198205,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,,,,,,,,,,AUS,QLD,-25.159,-25.2934,145.4373,144.987,,,On,,,EPSG:4202,license,license,unclassified,,,198205
32376,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Seismic Grav Data Central Eromanga Basin Trav 10,G0198210,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,,,,,,,,,,AUS,QLD,-25.05872,-26.08314,144.88515,144.52996,,,On,,,EPSG:4202,license,license,unclassified,,,198210
32377,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Seismic Grav Trav Central Eromanga Basin Trav 11,G0198211,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,,,,,,,,,,AUS,QLD,-25.49543,-26.32395,145.24081,143.92107,,,On,,,EPSG:4202,license,license,unclassified,,,198211
32378,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Seismic Grav Trav Central Eromanga Basin Trav 6-2,G0198213,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,,,,,,,,,,AUS,QLD,-25.18627,-25.29391,146.14424,145.41663,,,On,,,EPSG:4202,license,license,unclassified,,,198213
32379,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Irwin River Area EP181 Perenjori Grav,G0198232,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,CRA Exploration,principalInvestigator,,,,,,,,,,AUS,WA,-28.9478,-29.49499,115.88306,115.5032,,,On,,,EPSG:4202,license,license,unclassified,,,198232
32380,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Wanna Mason Detailed Grav,G0198233,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,CRA Exploration,principalInvestigator,Geoterrex,resourceProvider,Geoterrex,processor,,,,,,AUS,WA,-28.1663,-29.6454,128.7382,127.6073,5/10/1982,05/26/1982,On,RW,,EPSG:4202,license,license,unclassified,,,198233
32381,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Blackall Grav on the Auberg Seismic Lines,G0198248,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,AAR Ltd,principalInvestigator,Layton and Associates,resourceProvider,,,,,,,,AUS,QLD,-25.0059,-25.3528,145.6117,144.8987,05/15/1982,05/25/1982,On,,,EPSG:4202,license,license,unclassified,,,198248
32382,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"East Midlands, St Helens Micro Detailed Grav Eastern Part",G0198251,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept of Mines Tasmania,principalInvestigator,,,,,,,,,,AUS,TAS,-41.24689,-42.62433,148.17036,146.99939,,,On,,,EPSG:4202,license,license,unclassified,,,198251
32383,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Traverses, Grav 82E0",G0198261,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept Mines SA,principalInvestigator,,,,,,,,,,AUS,SA,-29.9918,-34.1504,140.5026,137.1406,,,On,,,EPSG:4202,license,license,unclassified,,,198261
32384,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Piccadilly Detailed, Christmas Ck, Oodnadatta Seismic",G0198262,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept Mines SA,principalInvestigator,,,,,,,,,,AUS,SA,-27.3338,-34.9913,138.7551,135.2336,,,On,,,EPSG:4202,license,license,unclassified,,,198262
32385,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Kopperamanna Seismic Traverses, Grav",G0198263,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept Mines SA,principalInvestigator,,,,,,,,,,AUS,SA,-27.7333,-29.65,138.8722,137.7565,,,On,,,EPSG:4202,license,license,unclassified,,,198263
32388,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Kerang detailed gravity,G0198341,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept Minerals and Energy Vic,principalInvestigator,,,,,,,,,,AUS,VIC,-35.50282,-36.42427,144.22326,143.64054,,,On,,,EPSG:4202,license,license,unclassified,,,198341
32389,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Mount Housetop Detailed Grav Segment B,G0198350,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Shell,principalInvestigator,,,,,,,,,,AUS,TAS,-41.13072,-41.36128,146.01069,145.67803,,,On,,,EPSG:4202,license,license,unclassified,,,198350
32390,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Strahan Detailed and Andrew River Detailed Micro Grav,G0198351,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept of Mines Tasmania,principalInvestigator,,,,,,,,,,AUS,TAS,-42.06964,-42.31197,145.66422,145.25369,,,On,,,EPSG:4202,license,license,unclassified,,,198351
32391,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Polda Basin Seismic Traverses, Grav",G0198360,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept Mines SA,principalInvestigator,,,,,,,,,,AUS,SA,-33.4955,-33.7185,136.0438,135.9247,,,On,,,EPSG:4202,license,license,unclassified,,,198360
32392,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Adelaide Detailed Traverses, Grav, 1983A4",G0198364,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Dept Mines SA,principalInvestigator,,,,,,,,,,AUS,SA,-34.90431,-34.90544,138.57048,138.56894,,,On,,,EPSG:4202,license,license,unclassified,,6/07/2001,198364
32396,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Central Australia Crustal Grav,G0198401,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,BMR,resourceProvider,,,,,,,,AUS,NT,-23.5001,-24.3304,131.6182,129.7593,,,On,,,EPSG:4202,license,license,unclassified,,,198401
32397,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Surat Basin Seismic Traverse, Grav",G0198405,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,BMR,principalInvestigator,,,,,,,,,,AUS,QLD,-26.63317,-27.4015,151.5695,145.0305,,,On,,,EPSG:4202,license,license,unclassified,,,198405
32398,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Traverse 14 SE Queensland Grav,G0198414,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Geological Survey of Qld,principalInvestigator,,,,,,,,,,AUS,QLD,-26.63317,-27.4015,151.5695,145.0305,,,On,,,EPSG:4202,license,license,unclassified,,,198414
32399,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Traverse 16 Toowoomba-Beenleigh, Clarence-Moreton Basin Grav",G0198416,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,,,,,,,,,,AUS,QLD,-27.61792,-27.76,153.15733,151.89684,,,On,,,EPSG:4202,license,license,unclassified,,,198416
32400,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Gatton Grav,G0198431,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Queensland Petroleum,principalInvestigator,Mackie Geophysics Pty Ltd,resourceProvider,Mackie Geophysics Pty Ltd,processor,,,,,,AUS,QLD,-27.49817,-27.757,152.747,152.00783,9/10/1984,09/16/1984,On,,,EPSG:4202,license,license,unclassified,All stations have been deactivated as survey does not merge in well with neighbouring surveys,,198431
32401,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Sale Area detailed gravity,G0198437,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Hartogen,principalInvestigator,Wongela Geophysics,resourceProvider,,,,,,,,AUS,VIC,-38.096,-38.34167,147.24016,146.78516,12/01/1984,12/31/1984,On,,,EPSG:4202,license,license,unclassified,,,198437
32402,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Newman area gravity,G0198447,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Multiplex,principalInvestigator,Geoprospectors,resourceProvider,Geoprospectors,processor,Multiplex,,,,,AUS,WA,-22.7852,-23.2329,120.1698,119.868,03/21/1984,03/30/1984,On,4W,,EPSG:4202,license,license,unclassified,,,198447
32403,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Ladnote Pty Ltd Grav Additional Data,G0198499,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Ladnote Pty Ltd,principalInvestigator,,,Leaman Geophysics,processor,,,,,,AUS,QLD,-22.606,-22.666,147.437,147.417,,,On,,,EPSG:4202,license,license,unclassified,,,198499
32404,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Nyngan, Narromine, Forbes Region Grav",G0198531,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,NSW Mines Dept,principalInvestigator,,,,,,,,,,AUS,NSW,-31.005,-33.997,148.494,147.009,,,On,,,EPSG:4202,license,license,unclassified,,,198531
32405,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Collie - Bridgetown Grav,G0198540,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Geological Survey of WA,principalInvestigator,,,Geological Survey of WA,processor,,,Geological Survey of WA,owner,,AUS,WA,-33.641,-33.995,116.864,115.325,,,On,,,EPSG:4202,license,license,unclassified,,,198540
32406,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Orbost PEP116 Grav,G0198544,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Wongela Geophysics,principalInvestigator,Arena Petroleum,resourceProvider,,,,,,,,AUS,VIC,-37.58467,-37.884,148.9875,147.55833,11/01/1985,12/31/1985,On,,,EPSG:4202,license,license,unclassified,,,198544
32407,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Southwest WA Grav,G0198546,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Otter Exploration,principalInvestigator,Otter Exploration,resourceProvider,,,,,,,,AUS,WA,-33.00196,-35.03694,118.49944,115.75792,4/01/1985,07/31/1985,On,,,EPSG:4202,license,license,unclassified,,,198546
32408,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Bindango Grav, ATP 276P",G0198547,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Oil Company of Austalia,principalInvestigator,Surtec Geosurveys,resourceProvider,Surtec Geosurveys,processor,,,,,,AUS,QLD,-25.99084,-26.63,148.69609,148.1238,8/06/1985,11/09/1985,On,4W,LWB Vehicle,EPSG:4202,license,license,unclassified,,,198547
